	transMode	startDate	endDate	distance	speed	acceleration	hasChangepoint	hasStopPoint
831	['walk']	2007-06-16 11:34:06	2007-06-16 11:35:08	181.77378547598926	3.0	-1.0	False	0
832	['walk']	2007-06-16 11:35:08	2007-06-16 11:35:47	333.6121923662663	9.0	6.0	False	0
833	['walk']	2007-06-16 11:35:47	2007-06-16 11:37:44	307.6726657105613	3.0	-6.0	False	0
834	['walk']	2007-06-16 11:37:44	2007-06-16 11:38:16	101.95864120035384	3.0	0.0	False	0
835	['walk']	2007-06-16 11:38:16	2007-06-16 11:38:56	111.55664115353001	3.0	0.0	False	0
836	['walk']	2007-06-16 11:38:56	2007-06-16 11:39:31	111.58743589863685	3.0	0.0	False	0
837	['walk']	2007-06-16 11:39:31	2007-06-16 11:40:48	115.6111504505051	2.0	-1.0	False	0
838	['walk']	2007-06-16 11:40:48	2007-06-16 11:42:57	117.45624517243283	1.0	-1.0	False	0
839	['walk']	2007-06-16 11:42:57	2007-06-16 11:43:38	131.58066315518857	3.0	2.0	False	0
840	['walk']	2007-06-16 11:43:38	2007-06-16 11:44:20	107.50145726213765	3.0	0.0	False	0
841	['walk']	2007-06-16 11:44:20	2007-06-16 11:45:59	113.3411163014432	1.0	-2.0	False	0
842	['walk']	2007-06-16 11:45:59	2007-06-16 11:47:35	111.53100408640987	1.0	0.0	False	0
843	['walk']	2007-06-16 11:47:35	2007-06-16 11:48:30	128.26623840684402	2.0	1.0	False	0
844	['walk']	2007-06-16 11:48:30	2007-06-16 11:48:44	109.34167782888116	8.0	6.0	False	0
845	['walk']	2007-06-16 11:48:44	2007-06-16 11:49:17	113.13928869262531	3.0	-5.0	False	0
846	['walk']	2007-06-16 11:49:17	2007-06-16 11:50:23	108.77829663567618	2.0	-1.0	False	0
847	['walk']	2007-06-16 11:50:23	2007-06-16 11:52:19	108.87653518448117	1.0	-1.0	False	0
848	['walk']	2007-06-16 11:52:19	2007-06-16 11:54:01	114.20271411860136	1.0	0.0	False	0
849	['walk']	2007-06-16 11:54:01	2007-06-16 11:55:43	126.56002940325172	1.0	0.0	False	0
850	['walk', 'bike']	2007-06-16 11:55:43	2007-06-16 11:56:53	1743.5183944231467	25.0	24.0	True	0
